Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d
Cryptonex,CNX,"$345,866,980",$7.66,"45,137,498","$587,931",-0.10%,53.75%,-5.77%
Syscoin,SYS,"$344,429,172",$0.65,"531,236,288","$2,432,180",-1.30%,12.44%,-12.64%
Bytom,BTM,"$341,577,999",$0.35,"987,000,000 *","$8,376,660",0.56%,7.10%,-8.99%
Dragonchain,DRGN,"$335,221,248",$1.41,"238,421,940 *","$1,614,240",-0.14%,2.37%,-21.43%
MonaCoin,MONA,"$324,579,808",$5.62,"57,708,925","$3,510,820",0.24%,4.65%,-9.52%
Golem,GNT,"$317,039,582",$0.38,"834,262,000 *","$13,431,900",3.07%,11.98%,-11.70%
aelf,ELF,"$314,317,500",$1.26,"250,000,000 *","$16,846,500",3.52%,9.53%,-18.27%
Nebulas,NAS,"$306,189,630",$8.63,"35,500,000 *","$11,047,300",0.73%,13.89%,-9.21%
PIVX,PIVX,"$300,987,658",$5.41,"55,659,810 *","$1,926,370",0.13%,5.16%,-11.43%
QASH,QASH,"$296,883,650",$0.85,"350,000,000 *","$2,971,370",0.16%,6.49%,-16.30%
Aion,AION,"$294,868,708",$3.07,"96,154,303 *","$4,539,270",2.28%,-1.18%,-17.75%
Dent,DENT,"$292,565,103",$0.03,"10,614,760,961 *","$5,272,820",-0.32%,-4.55%,4.30%
Polymath,POLY,"$290,299,250",$1.21,"239,570,250 *","$2,396,150",0.00%,-1.12%,-19.53%
Byteball Bytes,GBYTE,"$287,878,078",$446.17,"645,222 *","$374,719",1.37%,6.18%,-24.66%
Factom,FCT,"$277,709,459",$31.76,"8,745,102 *","$4,384,830",-0.67%,6.38%,-3.84%
ReddCoin,RDD,"$273,106,271",$0.01,"28,768,287,496 *","$21,537,400",-2.75%,-5.56%,13.24%
ZClassic,ZCL,"$273,041,731",$80.19,"3,404,850","$54,282,300",-10.08%,-32.04%,-56.52%
Ethos,ETHOS,"$267,507,953",$3.53,"75,807,919 *","$1,146,990",0.07%,7.02%,-11.20%
Kyber Network,KNC,"$265,946,240",$1.98,"134,132,697 *","$3,110,570",-0.03%,2.91%,-20.90%
Dentacoin,DCN,"$252,758,969",$0.00,"325,226,613,094 *","$235,371",-0.23%,-2.56%,-20.98%
ChainLink,LINK,"$250,118,400",$0.71,"350,000,000 *","$5,359,710",3.32%,8.28%,-8.34%
GXShares,GXS,"$247,987,200",$4.13,"60,000,000 *","$6,280,420",-0.22%,2.93%,-15.07%
IOStoken,IOST,"$238,785,108",$0.04,"6,794,109,922 *","$27,974,300",1.16%,5.41%,-23.81%
Bitcore,BTX,"$237,208,092",$20.15,"11,772,406","$1,714,650",1.51%,3.74%,-23.72%
FunFair,FUN,"$235,025,900",$0.05,"4,503,688,789 *","$1,684,180",-0.14%,3.59%,-15.47%
Power Ledger,POWR,"$220,516,979",$0.61,"363,932,644 *","$4,621,360",-0.07%,3.30%,-21.47%
ZCoin,XZC,"$220,081,721",$52.47,"4,194,070","$4,039,570",-0.83%,5.12%,-22.14%
SALT,SALT,"$218,457,480",$4.03,"54,237,689 *","$4,403,800",0.47%,-0.55%,-13.17%
Nxt,NXT,"$211,785,990",$0.21,"998,999,942 *","$3,590,030",-0.50%,2.79%,-19.39%
Kin,KIN,"$203,419,732",$0.00,"756,097,560,976 *","$870,095",0.20%,-0.27%,-20.95%
Bancor,BNT,"$199,335,128",$5.09,"39,188,053 *","$6,125,360",-0.01%,4.28%,-9.82%
Cindicator,CND,"$198,735,023",$0.14,"1,445,976,590 *","$2,606,690",0.43%,3.96%,-18.46%
Enigma,ENG,"$195,143,548",$2.61,"74,836,171 *","$4,375,680",0.85%,5.58%,-13.86%
Request Network,REQ,"$192,833,330",$0.30,"641,462,769 *","$3,335,500",-0.83%,0.46%,-4.02%
Pillar,PLR,"$192,130,378",$0.84,"227,384,800 *","$626,043",-3.54%,-2.02%,-26.17%
Neblio,NEBL,"$184,127,934",$14.32,"12,854,685 *","$3,541,900",-0.06%,4.55%,-19.74%
Particl,PART,"$181,329,774",$20.41,"8,883,489 *","$304,636",1.75%,-1.58%,-19.69%
Vertcoin,VTC,"$177,580,400",$4.12,"43,111,875","$2,477,560",-0.18%,10.48%,-12.12%
SingularityNET,AGI,"$177,336,309",$0.39,"460,552,782 *","$2,515,630",-3.56%,2.31%,7.35%
Quantstamp,QSP,"$168,769,990",$0.27,"617,314,171 *","$2,914,780",2.77%,9.00%,-15.35%
TenX,PAY,"$168,226,310",$1.61,"104,661,310 *","$1,864,870",0.01%,5.24%,-20.00%
SmartCash,SMART,"$161,779,198",$0.22,"738,168,388","$166,178",-3.58%,-2.38%,-23.16%
MaidSafeCoin,MAID,"$156,494,434",$0.35,"452,552,412 *","$2,299,100",-1.47%,-0.41%,-26.88%
Emercoin,EMC,"$154,656,929",$3.74,"41,368,269","$992,140",-0.48%,7.43%,-29.16%
Ignis,IGNIS,"$153,142,163",$0.20,"761,143,950 *","$4,753,520",-0.38%,-1.54%,-26.86%
WAX,WAX,"$152,682,809",$0.31,"492,954,537 *","$6,782,700",-0.87%,-2.87%,-19.68%
Raiden Networ...,RDN,"$152,408,712",$3.04,"50,168,936 *","$4,475,920",1.44%,0.82%,-22.45%
Iconomi,ICN,"$147,288,665",$1.48,"99,735,687 *","$880,016",-0.31%,1.96%,-19.31%
Gnosis,GNO,"$146,475,262",$132.61,"1,104,590 *","$311,888",-0.18%,3.48%,-16.27%
Blocknet,BLOCK,"$143,350,792",$28.49,"5,032,271 *","$465,189",3.85%,-0.35%,-29.58%
Enjin Coin,ENJ,"$142,961,980",$0.19,"756,192,535 *","$6,232,020",-0.51%,-1.01%,-20.99%
GameCredits,GAME,"$137,292,490",$2.13,"64,355,352","$2,620,710",-0.57%,2.17%,-29.05%
Po.et,POE,"$136,761,338",$0.06,"2,216,707,776 *","$3,727,680",2.12%,4.25%,-16.48%
Santiment Net...,SAN,"$135,296,900",$2.16,"62,660,371 *","$4,846,300",1.19%,8.16%,-27.42%
