Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d
Cappasity,CAPP,"$36,855,637",$0.11,"330,992,078 *","$284,139",0.59%,2.87%,-12.28%
Mooncoin,MOON,"$36,572,022",$0.00,"223,631,482,317","$27,496",0.43%,9.66%,-15.32%
Agrello,DLT,"$35,976,140",$0.42,"85,978,873 *","$3,586,290",2.60%,13.96%,0.49%
Diamond,DMD,"$35,932,215",$13.47,"2,666,861","$189,913",0.46%,0.01%,-13.77%
PotCoin,POT,"$35,799,499",$0.16,"219,436,314 *","$141,366",0.12%,6.99%,-12.93%
adToken,ADT,"$35,541,120",$0.06,"600,000,000 *","$442,477",0.39%,1.73%,-24.88%
All Sports,SOC,"$35,414,598",$0.08,"439,951,480 *","$2,209,440",1.27%,4.31%,-40.88%
Electra,ECA,"$35,308,317",$0.00,"23,319,056,865","$168,337",0.23%,20.71%,-9.65%
WhiteCoin,XWC,"$35,217,511",$0.14,"248,749,885 *","$53,692",4.69%,12.44%,-11.57%
Decision Token,HST,"$35,183,313",$1.12,"31,433,599 *","$132,099",-1.43%,8.41%,-21.57%
Zeepin,ZPT,"$34,998,512",$0.15,"234,565,044 *","$4,573,920",0.28%,-3.78%,13.61%
Energo,TSL,"$34,715,820",$0.06,"582,029,029 *","$1,446,310",2.39%,5.56%,-21.97%
Dimecoin,DIME,"$34,247,576",$0.00,"539,096,740,560","$54,050",0.59%,-5.73%,-23.46%
Humaniq,HMQ,"$34,076,954",$0.21,"162,862,944 *","$500,512",0.06%,3.37%,-17.81%
SIBCoin,SIB,"$33,992,596",$2.07,"16,420,830","$137,098",0.56%,4.96%,-21.46%
Flash,FLASH,"$33,530,400",$0.04,"900,000,000 *","$43,962",2.96%,22.78%,-3.95%
Shift,SHIFT,"$33,368,116",$2.84,"11,762,839 *","$206,607",-0.48%,8.12%,-11.86%
Monetha,MTH,"$32,825,673",$0.15,"217,017,764 *","$565,072",0.78%,3.68%,-22.52%
Selfkey,KEY,"$32,632,047",$0.02,"1,884,883,591 *","$462,966",3.31%,19.14%,-11.13%
CanYaCoin,CAN,"$32,473,838",$0.87,"37,500,780 *","$1,420,000",2.90%,31.04%,53.02%
Spectre.ai Di...,SXDT,"$32,396,898",$0.40,"82,013,519 *","$109,297",-11.63%,-13.09%,?
Odyssey,OCN,"$32,130,200",$0.02,"2,000,000,000 *","$34,576,300",-0.17%,1.09%,-19.43%
Lamden,TAU,"$31,819,205",$0.22,"142,215,728 *","$410,799",0.82%,5.57%,-9.20%
Qbao,QBT,"$31,742,157",$0.49,"65,351,403 *","$5,209,050",-0.96%,6.07%,-25.16%
YOYOW,YOYOW,"$31,574,725",$0.13,"244,409,119 *","$1,102,340",1.02%,5.24%,-16.42%
SwftCoin,SWFTC,"$31,371,550",$0.02,"1,750,000,000 *","$15,721,400",1.22%,4.03%,-21.04%
Zeusshield,ZSC,"$31,163,633",$0.03,"1,153,170,765 *","$55,885",0.24%,-0.13%,-6.98%
I/O Coin,IOC,"$30,925,599",$1.87,"16,559,715 *","$107,256",-1.37%,9.15%,-23.80%
Grid+,GRID,"$30,696,080",$0.78,"39,236,491 *","$8,939",0.15%,4.32%,?
Blockport,BPT,"$30,308,065",$0.58,"51,950,656 *","$1,132,760",3.63%,-3.41%,-26.11%
Pascal Coin,PASC,"$29,791,365",$1.63,"18,241,100","$96,852",0.46%,10.96%,-8.48%
BitConnect,BCC,"$29,652,177",$3.20,"9,259,216","$102,625",0.93%,7.32%,-18.50%
Voxels,VOX,"$28,855,680",$0.14,"210,000,000 *","$2,381,590",2.34%,13.00%,-12.96%
Soarcoin,SOAR,"$28,850,357",$0.03,"988,181,611 *","$6,819",-0.14%,8.49%,-10.41%
ColossusCoinXT,COLX,"$28,600,090",$0.00,"10,724,738,924","$67,706",-1.09%,-1.08%,-41.08%
HempCoin,THC,"$28,560,006",$0.12,"230,478,760","$286,391",-1.09%,4.87%,-46.93%
Swarm,SWM,"$28,485,268",$0.56,"51,113,355 *","$33,085",-0.08%,-14.16%,-47.18%
Unobtanium,UNO,"$28,477,822",$143.63,"198,275","$39,170",-0.20%,3.60%,-7.85%
LEOcoin,LEO,"$28,298,913",$0.29,"98,668,149 *","$19,419",-0.12%,2.36%,-0.44%
Cofound.it,CFI,"$28,025,075",$0.09,"325,000,000 *","$644,618",-2.05%,1.89%,-20.60%
WeTrust,TRST,"$28,022,239",$0.30,"92,147,500 *","$303,270",-1.05%,3.48%,-13.73%
Numeraire,NMR,"$27,605,628",$21.42,"1,289,037 *","$151,954",0.85%,11.21%,-23.47%
Game.com,GTC,"$27,595,020",$0.09,"300,000,000 *","$1,310,340",2.42%,19.01%,-23.42%
Maecenas,ART,"$27,408,657",$0.91,"30,150,150 *","$1,758",-0.06%,0.61%,-19.11%
QunQun,QUN,"$27,077,969",$0.06,"462,392,282 *","$7,622,800",0.50%,6.29%,-20.99%
DADI,DADI,"$26,848,538",$0.38,"70,641,964 *","$429,674",-0.80%,1.33%,-23.93%
Olympus Labs,MOT,"$26,356,462",$0.72,"36,838,176 *","$1,215,650",1.12%,-3.76%,-12.52%
BlackCoin,BLK,"$26,244,401",$0.34,"76,691,372 *","$131,005",-0.33%,4.06%,-15.56%
LATOKEN,LA,"$26,043,352",$0.33,"77,839,404 *","$2,115,510",1.17%,4.98%,-8.92%
VeriCoin,VRC,"$25,976,108",$0.84,"30,826,944","$2,411,390",-2.84%,23.51%,-10.44%
GridCoin,GRC,"$25,939,756",$0.07,"390,312,753","$58,099",-0.57%,12.25%,-13.21%
Moeda Loyalty...,MDA,"$25,489,289",$1.30,"19,628,888 *","$2,952,770",-0.15%,4.28%,-9.23%
Uquid Coin,UQC,"$25,386,400",$2.54,"10,000,000 *","$112,989",-0.14%,12.99%,-8.58%
Blocktix,TIX,"$24,898,480",$0.62,"40,000,000 *","$627,243",-0.71%,-0.05%,-24.07%
Aurora DAO,AURA,"$24,857,607",$0.24,"101,874,187 *","$69,025",0.16%,0.63%,-27.52%
carVertical,CV,"$24,754,900",$0.00,"5,253,865,288 *","$406,679",2.15%,-11.21%,-30.86%
Synereo,AMP,"$24,749,365",$0.30,"82,256,324 *","$303,694",0.67%,0.27%,-11.82%
Spectrecoin,XSPEC,"$24,498,967",$1.18,"20,785,264 *","$65,685",-0.13%,-3.99%,-30.10%
Elastic,XEL,"$24,449,688",$0.27,"89,570,123 *","$183,140",-0.39%,-1.78%,-8.13%
FirstBlood,1ST,"$24,251,263",$0.28,"85,558,371 *","$1,635,770",-2.25%,-1.98%,-46.29%
Covesting,COV,"$24,097,675",$1.38,"17,500,000 *","$330,125",-4.91%,12.70%,33.83%
Bloom,BLT,"$24,056,174",$0.61,"39,496,568 *","$694,844",-0.35%,0.87%,-20.86%
SunContract,SNC,"$23,879,474",$0.21,"114,869,777 *","$5,047,760",0.01%,3.05%,-28.30%
PoSW Coin,POSW,"$23,718,612",$0.54,"44,100,000 *","$231,233",0.93%,-2.54%,-15.81%
BitDegree,BDG,"$23,581,009",$0.07,"349,869,198 *","$80,240",2.23%,4.41%,-16.47%
Zoin,ZOI,"$23,524,902",$1.38,"17,094,225","$350,248",0.18%,30.17%,0.30%
InsurePal,IPL,"$23,506,950",$0.12,"201,000,000 *","$28,355",-1.93%,2.86%,-17.71%
Matchpool,GUP,"$23,345,475",$0.31,"75,000,000 *","$2,292,450",0.80%,13.53%,-14.39%
FairCoin,FAIR,"$23,034,844",$0.43,"53,193,831 *","$19,659",-0.08%,6.67%,-24.43%
Trade Token,TIO,"$22,848,797",$0.27,"84,285,536 *","$798,440",0.72%,2.05%,-26.49%
SHIELD,XSH,"$22,730,431",$0.05,"481,719,811","$49,758",-0.66%,0.58%,-31.99%
Hubii Network,HBT,"$22,552,819",$1.67,"13,516,418 *","$78,188",15.44%,14.26%,48.00%
Mothership,MSP,"$22,472,940",$0.16,"140,000,000 *","$111,747",-1.38%,-0.19%,-24.37%
Propy,PRO,"$22,418,796",$1.34,"16,735,940 *","$9,519,870",-0.26%,4.01%,-18.49%
NoLimitCoin,NLC2,"$22,315,569",$0.11,"205,603,330 *","$158,670",-2.53%,-2.25%,-20.72%
NewYorkCoin,NYC,"$22,198,301",$0.00,"132,185,463,284","$18,238",-0.82%,14.60%,27.59%
Rivetz,RVT,"$22,071,125",$0.84,"26,244,468 *","$4,636",-1.10%,5.75%,-23.47%
Hackspace Cap...,HAC,"$21,747,722",$0.07,"324,308,731 *","$1,406,630",-0.08%,15.09%,-4.98%
Waves Communi...,WCT,"$21,567,962",$2.16,"9,973,578 *","$100,254",-0.58%,1.55%,-28.42%
Ormeus Coin,ORME,"$21,499,177",$1.26,"17,029,321 *","$978,071",3.01%,9.28%,-18.74%
Expanse,EXP,"$21,456,379",$2.71,"7,906,397","$411,055",-0.32%,7.75%,-22.10%
Omni,OMNI,"$21,418,371",$38.20,"560,658 *","$57,879",-0.08%,6.81%,-11.64%
Primecoin,XPM,"$21,259,233",$0.94,"22,656,457","$510,120",-1.47%,44.04%,22.71%
Snovio,SNOV,"$21,134,328",$0.05,"404,999,427 *","$524,602",-0.32%,9.84%,-16.88%
ALQO,ALQO,"$21,114,451",$0.74,"28,341,774","$192,302",-7.80%,22.09%,-30.97%
Neumark,NEU,"$20,908,796",$0.73,"28,728,253 *","$104,761",1.12%,12.83%,-13.24%
Bodhi,BOT,"$20,273,880",$0.51,"40,000,000 *","$1,087,390",3.74%,8.72%,-18.47%
Worldcore,WRC,"$20,204,986",$0.12,"175,109,299 *","$655,992",0.23%,-4.98%,-40.70%
DomRaider,DRT,"$20,198,660",$0.03,"591,500,000 *","$10,064",-1.27%,-0.83%,-13.56%
Radium,RADS,"$19,957,752",$5.77,"3,458,055 *","$354,626",-0.34%,4.76%,-16.92%
Quantum,QAU,"$19,745,010",$0.26,"76,091,018 *","$51,507",0.12%,19.73%,9.88%
BitClave,CAT,"$19,607,680",$0.04,"501,394,406 *","$1,440,200",-0.33%,-4.64%,-36.22%
Dai,DAI,"$19,552,794",$1.00,"19,547,126 *","$1,653,280",-0.23%,-0.08%,-0.01%
KickCoin,KICK,"$19,494,701",$0.06,"321,137,782 *","$3,353,420",-0.35%,-1.74%,0.29%
OAX,OAX,"$19,428,786",$0.78,"25,009,250 *","$886,891",-0.99%,6.93%,-14.31%
iXledger,IXT,"$19,401,794",$0.54,"35,778,844 *","$272,823",-2.75%,1.97%,-21.45%
Phore,PHR,"$19,292,699",$2.80,"6,894,362 *","$77,191",1.07%,5.19%,-20.31%
Open Trading ...,OTN,"$19,194,514",$5.34,"3,592,379 *","$73,359",-0.41%,-7.30%,-33.94%
E-Dinar Coin,EDR,"$19,097,957",$0.02,"886,211,988","$27,837",-0.18%,8.86%,-4.24%
Universal Cur...,UNIT,"$18,577,325",$1.42,"13,095,811","$22,507",0.98%,8.87%,-20.62%
Myriad,XMY,"$18,460,717",$0.01,"1,555,726,500","$215,688",3.67%,0.78%,-10.87%
Energycoin,ENRG,"$18,189,810",$0.15,"121,666,903","$39,282",-0.18%,6.79%,-6.88%
MonetaryUnit,MUE,"$18,171,438",$0.14,"125,563,597","$173,958",0.12%,4.81%,-9.33%
Hydro Protocol,HOT,"$18,105,675",$0.08,"229,389,301 *","$40,245",-0.29%,-0.13%,-18.49%
Stox,STX,"$17,983,561",$0.43,"42,152,494 *","$511,826",-0.52%,1.53%,-6.69%
Blackmoon,BMC,"$17,844,611",$0.85,"20,959,435 *","$886,228",-0.44%,17.42%,-8.56%
Rubycoin,RBY,"$17,813,684",$0.70,"25,349,582 *","$4,510",-2.28%,5.31%,-22.60%
OKCash,OK,"$17,780,021",$0.24,"73,819,516 *","$304,949",-1.14%,5.94%,-16.51%
Golos,GOLOS,"$17,760,254",$0.14,"124,518,891","$17,482",-1.04%,2.12%,-29.82%
ATBCoin,ATB,"$17,693,755",$0.43,"41,010,833","$2,755,140",-4.59%,10.50%,-26.58%
SolarCoin,SLR,"$17,653,178",$0.45,"39,575,703 *","$60,733",-0.10%,-4.63%,-41.84%
ProChain,PRA,"$17,486,689",$0.35,"49,506,089 *","$496,404",0.12%,4.70%,-5.89%
BitDice,CSNO,"$17,333,890",$0.25,"70,000,000 *","$1,407",-0.08%,18.34%,-2.43%
ALIS,ALIS,"$17,264,890",$0.45,"38,538,647 *","$30,377",2.73%,13.45%,-10.53%
Paragon,PRG,"$17,076,056",$0.26,"64,936,612 *","$89,001",0.08%,1.67%,-22.26%
Primas,PST,"$17,011,661",$0.33,"51,200,000 *","$1,193,800",-1.34%,-1.53%,-0.99%
Boolberry,BBR,"$16,859,072",$1.51,"11,143,473","$7,877",-0.27%,1.05%,-26.87%
BitSend,BSD,"$16,816,971",$0.92,"18,311,600","$79,227",-0.37%,9.79%,-15.07%
Gambit,GAM,"$16,772,103",$13.97,"1,200,279 *","$4,937",-0.15%,13.01%,-6.02%
NeosCoin,NEOS,"$16,516,598",$4.46,"3,707,280","$219,547",-0.22%,11.79%,3.06%
Etheroll,DICE,"$16,429,518",$2.35,"7,001,623 *","$74,268",-1.67%,19.60%,8.61%
aXpire,AXP,"$16,408,562",$0.06,"256,338,119 *","$124,522",0.37%,2.27%,-18.09%
Clams,CLAM,"$16,405,006",$5.68,"2,890,669 *","$52,328",-0.30%,7.03%,-10.03%
DecentBet,DBET,"$16,243,575",$0.15,"107,844,740 *","$30,602",-1.55%,4.89%,-18.93%
Hedge,HDG,"$16,163,199",$4.36,"3,709,674 *",$572,-0.03%,-7.60%,-13.49%
LoMoCoin,LMC,"$16,013,723",$0.07,"226,907,160 *","$51,060",-2.01%,3.04%,-19.45%
Polybius,PLBT,"$15,940,598",$4.17,"3,820,954 *","$50,045",-0.25%,27.77%,-16.31%
ICOS,ICOS,"$15,899,568",$27.65,"575,067 *","$191,389",-0.22%,11.50%,0.93%
AirToken,AIR,"$15,793,365",$0.02,"1,050,000,000 *","$181,842",0.66%,3.83%,-8.25%
OracleChain,OCT,"$15,764,970",$0.53,"30,000,000 *","$33,808",-0.41%,-0.10%,-19.18%
Bismuth,BIS,"$15,610,650",$1.96,"7,963,074","$69,962",-0.15%,8.78%,-15.33%
Credo,CREDO,"$15,602,572",$0.03,"549,891,703 *","$5,592",-0.08%,35.60%,-5.44%
Pareto Network,PARETO,"$15,600,284",$0.07,"209,973,618 *","$238,522",1.86%,4.03%,-22.47%
Swarm City,SWT,"$15,547,348",$1.91,"8,143,171 *","$140,980",0.79%,4.67%,-24.37%
NVO,NVST,"$15,510,750",$1.03,"15,000,000 *","$5,818",9.43%,50.94%,-30.19%
bitUSD,BITUSD,"$15,376,703",$1.07,"14,372,900 *","$1,028,660",0.01%,1.62%,2.98%
Databits,DTB,"$15,274,721",$0.67,"22,747,809 *","$67,988",-1.23%,7.17%,-5.48%
Exchange Union,XUC,"$15,228,640",$7.61,"2,000,000 *","$1,437,720",3.57%,10.44%,14.92%
Auroracoin,AUR,"$15,206,550",$1.76,"8,658,139","$18,444",-0.14%,4.17%,-8.56%
Syndicate,SYNX,"$15,090,466",$0.80,"18,945,710 *","$260,014",1.15%,8.36%,-14.18%
Neutron,NTRN,"$15,078,676",$0.44,"34,201,471 *","$13,029",-0.08%,2.84%,-4.09%
Xaurum,XAUR,"$15,059,951",$0.12,"127,134,330 *","$76,744",-0.11%,18.85%,0.92%
OneRoot Network,RNT,"$15,036,164",$0.08,"185,501,579 *","$569,365",2.11%,7.91%,-5.02%
ToaCoin,TOA,"$14,992,224",$0.01,"1,916,847,957","$26,694",-0.35%,1.32%,-8.89%
CoinFi,COFI,"$14,919,499",$0.09,"170,470,573 *","$134,422",0.33%,2.39%,-20.60%
PRIZM,PZM,"$14,830,207",$0.99,*,"$20,036",-0.71%,5.26%,6.83%
CargoX,CXO,"$14,823,722",$0.11,"129,071,409 *","$132,818",-0.33%,4.40%,-14.86%
Ethorse,HORSE,"$14,798,946",$0.15,"100,336,600 *","$57,907",0.16%,-1.31%,-4.40%
GoByte,GBX,"$14,748,469",$17.14,"860,616","$167,704",0.17%,9.62%,-22.82%
MyBit Token,MYB,"$14,509,041",$5.18,"2,799,476 *","$186,500",-0.17%,9.69%,-37.03%
FoldingCoin,FLDC,"$14,434,805",$0.03,"574,512,758 *","$199,758",-3.01%,3.62%,-12.86%
Solaris,XLR,"$14,351,235",$13.74,"1,044,364","$160,618",3.15%,16.83%,26.33%
FedoraCoin,TIPS,"$14,341,942",$0.00,"443,168,182,458","$4,021",-17.99%,112.73%,49.54%
SportyCo,SPF,"$14,341,786",$0.28,"51,110,775 *","$2,123,480",-0.40%,9.79%,-5.12%
FlorinCoin,FLO,"$14,270,535",$0.10,"142,326,758","$92,775",0.70%,10.18%,-13.77%
CoinMeet,MEE,"$14,223,260",$0.07,"194,929,698 *","$2,625,590",-0.28%,1.38%,-21.16%
LUXCoin,LUX,"$14,145,475",$12.16,"1,162,954","$128,478",0.17%,9.89%,-16.47%
DubaiCoin,DBIX,"$14,125,075",$6.62,"2,133,726","$123,311",-0.06%,6.35%,-15.63%
Nexium,NXC,"$14,034,532",$0.21,"66,520,989 *","$36,905",0.33%,10.00%,-17.76%
GET Protocol,GET,"$14,027,446",$1.35,"10,384,393 *","$3,042",0.19%,38.35%,44.77%
Hacken,HKN,"$13,868,474",$3.61,"3,840,959 *","$84,673",-0.55%,-2.55%,-23.38%
Playkey,PKT,"$13,758,422",$1.01,"13,631,512 *","$3,347",1.32%,19.62%,-18.49%
EncrypGen,DNA,"$13,691,523",$0.22,"62,166,378 *","$53,468",-3.45%,-10.88%,-37.09%
Incent,INCNT,"$13,503,342",$0.29,"46,016,602 *","$140,249",-3.34%,23.61%,-5.34%
Bounty0x,BNTY,"$13,458,745",$0.11,"123,063,761 *","$148,451",1.13%,7.30%,-27.23%
Voise,VOISE,"$13,440,379",$0.03,"498,887,537 *","$962,429",0.55%,-2.48%,-33.91%
Pluton,PLU,"$13,433,732",$15.80,"850,000 *",$920,-3.13%,3.85%,-15.02%
Pandacoin,PND,"$13,413,639",$0.00,"32,514,916,898","$24,050",-0.08%,4.39%,-20.80%
Patientory,PTOY,"$13,338,220",$0.19,"70,000,000 *","$861,870",-1.58%,-1.78%,-8.59%
Mysterium,MYST,"$13,311,621",$0.69,"19,429,024 *","$108,546",0.14%,3.85%,-16.88%
Oxycoin,OXY,"$13,258,596",$0.14,"96,021,121","$1,579",-0.07%,-4.49%,-45.47%
Russian Miner...,RMC,"$13,255,240","$8,795.78","1,507 *","$22,434",0.26%,21.55%,-22.67%
Rialto,XRL,"$13,220,765",$0.18,"72,998,540 *","$2,455",1.74%,8.02%,-21.22%
HelloGold,HGT,"$13,164,253",$0.05,"263,034,654 *","$44,265",-0.98%,-3.37%,-12.13%
Karma,KRM,"$13,143,677",$0.01,"1,005,414,013 *","$34,874",-0.01%,-3.89%,-44.54%
Global Curren...,GCR,"$13,128,607",$0.13,"103,863,096 *","$34,858",0.01%,9.06%,-7.72%
Aventus,AVT,"$13,022,100",$2.17,"6,000,000 *","$224,452",-0.20%,9.44%,-13.67%
Circuits of V...,COVAL,"$13,000,400",$0.01,"1,000,000,000 *","$36,990",-0.08%,8.71%,-21.92%
Divi,DIVX,"$12,934,456",$2.51,"5,143,007 *","$60,624",-0.14%,15.97%,-10.55%
bitqy,BQ,"$12,885,867",$0.00,"2,913,159,727 *","$1,730",-1.33%,6.42%,-31.08%
Musicoin,MUSIC,"$12,791,349",$0.02,"642,765,222","$113,021",0.83%,7.41%,-3.57%
Chronobank,TIME,"$12,775,711",$17.99,"710,113 *","$285,834",-1.39%,3.31%,-33.04%
Riecoin,RIC,"$12,752,416",$0.30,"41,911,375","$943,376",0.52%,5.63%,64.32%
Starbase,STAR,"$12,673,163",$0.07,"187,500,000 *",$589,0.16%,33.33%,?
ClearPoll,POLL,"$12,617,554",$1.80,"6,999,991 *","$117,590",1.43%,8.34%,-8.37%
E-coin,ECN,"$12,249,856",$34.96,"350,363","$20,399",0.35%,-16.21%,-31.64%
LOCIcoin,LOCI,"$11,775,995",$0.32,"36,518,110 *","$43,352",-1.98%,-6.66%,-18.21%
Elixir,ELIX,"$11,592,220",$0.37,"31,348,031 *","$44,794",1.64%,4.57%,-23.94%
PinkCoin,PINK,"$11,548,782",$0.03,"381,906,699","$81,950",1.82%,15.02%,-7.13%
The ChampCoin,TCC,"$11,520,276",$0.07,"164,925,727 *","$27,320",-0.08%,8.47%,-9.79%
Profile Utili...,PUT,"$11,507,797",$0.55,"20,923,343 *","$2,281,030",2.13%,9.23%,-23.39%
AICHAIN,AIT,"$11,481,935",$0.06,"193,535,756 *","$59,591",1.10%,4.77%,-5.54%
Linda,LINDA,"$11,473,603",$0.00,"8,423,899,243","$143,049",-2.88%,-9.05%,-32.64%
Payfair,PFR,"$11,464,933",$0.15,"76,070,288 *","$46,502",-6.65%,10.57%,-18.38%
LockChain,LOC,"$11,459,900",$1.23,"9,292,966 *","$53,340",-1.01%,-12.65%,-22.94%
Dynamic,DYN,"$11,430,598",$2.39,"4,792,181 *","$477,754",-2.60%,7.28%,-12.72%
Everus,EVR,"$11,367,470",$0.30,"38,319,598 *","$198,314",0.37%,13.37%,-22.36%
BlockCAT,CAT,"$11,328,772",$1.54,"7,360,121 *","$16,477",-0.28%,6.52%,-8.27%
BLUE,BLUE,"$11,313,607",$0.31,"36,645,278 *","$31,084",-0.64%,-9.53%,-28.39%
DCORP,DRP,"$11,274,136",$1.39,"8,094,002 *","$19,592",-0.42%,41.08%,6.92%
Curecoin,CURE,"$11,259,919",$0.47,"23,850,353","$68,493",-0.27%,7.55%,-7.17%
Espers,ESP,"$11,226,254",$0.00,"21,198,330,437","$25,536",-0.04%,-5.03%,-24.41%
SureRemit,RMT,"$11,198,400",$0.02,"500,000,000 *","$37,659",4.14%,-3.37%,-39.07%
Gatcoin,GAT,"$11,192,369",$0.02,"529,861,449 *","$78,480",-4.54%,-13.46%,10.82%
Internet of P...,IOP,"$11,087,000",$3.36,"3,295,367","$618,322",-0.15%,4.93%,-5.42%
AidCoin,AID,"$10,983,848",$0.33,"33,412,976 *","$438,473",1.11%,17.63%,-10.14%
InvestFeed,IFT,"$10,923,353",$0.06,"191,381,257 *","$32,392",-0.08%,-2.79%,-15.92%
Bitcrystals,BCY,"$10,902,872",$0.47,"23,184,528 *","$54,539",1.42%,2.64%,-15.89%
Autonio,NIO,"$10,858,351",$0.16,"65,828,135 *","$5,702",-1.77%,4.60%,-9.01%
Leverj,LEV,"$10,780,506",$0.09,"118,090,511 *","$18,666",-0.07%,4.11%,-29.02%
B2BX,B2B,"$10,764,123",$0.65,"16,540,772 *","$3,021,770",-1.25%,9.11%,3.14%
TIES Network,TIE,"$10,709,873",$0.27,"39,877,101 *","$55,262",5.66%,32.09%,1.94%
eBitcoin,EBTC,"$10,497,335",$0.56,"18,897,126 *","$255,819",1.86%,-3.14%,-38.45%
Zilla,ZLA,"$10,425,506",$0.28,"37,266,692 *","$1,177,990",-0.07%,2.33%,-30.96%
OBITS,OBITS,"$10,297,272",$0.66,"15,674,600 *","$6,073",-0.45%,3.57%,-18.24%
HEROcoin,PLAY,"$10,233,435",$0.09,"119,057,249 *","$195,460",-0.68%,8.74%,-9.89%
Spectre.ai Ut...,SXUT,"$10,186,699",$0.42,"24,519,558 *","$4,656,290",0.23%,0.01%,-6.91%
LIFE,LIFE,"$10,030,785",$0.00,"13,854,082,588 *","$74,532",-6.51%,0.51%,-36.12%
Sequence,SEQ,"$9,911,921",$0.22,"45,421,481","$12,687",-0.08%,6.58%,-10.34%
Iungo,ING,"$9,814,040",$0.25,"40,000,000 *","$47,673",-0.04%,15.64%,-22.94%
Travelflex,TRF,"$9,805,198",$0.13,"75,226,693","$107,630",2.54%,31.40%,3.92%
Novacoin,NVC,"$9,738,887",$4.88,"1,996,414","$17,293",-0.47%,6.84%,-10.28%
Memetic / Pep...,MEME,"$9,705,726",$0.45,"21,685,720","$4,215,650",-2.45%,30.44%,-0.14%
EarthCoin,EAC,"$9,659,539",$0.00,"11,769,060,610","$18,051",-10.48%,11.73%,-21.18%
ArtByte,ABY,"$9,649,141",$0.01,"792,537,250","$29,599",0.64%,2.10%,-14.70%
Rebellious,REBL,"$9,534,020",$0.06,"167,757,368 *","$1,432,970",-4.02%,11.63%,-9.90%
Polis,POLIS,"$9,434,625",$9.22,"1,023,601","$167,076",-6.26%,20.82%,37.91%
Block Array,ARY,"$9,399,304",$0.14,"68,430,738 *","$67,478",-0.50%,0.17%,-8.94%
BitcoinZ,BTCZ,"$9,373,385",$0.01,"1,219,587,645","$61,915",-1.89%,3.09%,-21.01%
Flixxo,FLIXX,"$9,328,686",$0.13,"74,497,777 *","$19,692",0.05%,-1.07%,-26.70%
NuBits,USNBT,"$9,294,546",$1.00,"9,306,524 *","$8,432,800",-0.21%,0.38%,-0.28%
HEAT,HEAT,"$9,209,623",$0.28,"32,583,136 *","$1,276",-0.17%,11.90%,-27.22%
CVCoin,CVCOIN,"$9,127,232",$0.93,"9,837,033 *","$3,587",0.15%,1.07%,-11.96%
Sphere,SPHR,"$9,005,546",$2.92,"3,082,940 *","$102,248",-2.20%,3.16%,-26.59%
Stealthcoin,XST,"$8,794,286",$0.31,"28,215,573","$34,598",-2.44%,7.87%,-27.36%
Change,CAG,"$8,712,548",$0.23,"37,109,887 *","$1,158,630",-0.24%,-0.56%,-15.10%
Devery,EVE,"$8,686,075",$0.14,"62,918,410 *","$187,578",-2.53%,33.10%,-3.70%
RussiaCoin,RC,"$8,651,913",$1.03,"8,377,873",$793,-0.08%,2.44%,-10.36%
Pirl,PIRL,"$8,598,310",$0.78,"11,013,336","$46,420",0.12%,3.85%,-29.03%
HyperStake,HYP,"$8,579,668",$0.01,"1,149,200,648 *","$4,587",0.65%,14.53%,-8.36%
Eroscoin,ERO,"$8,473,546",$0.05,"186,744,000 *","$77,529",2.02%,4.20%,-21.00%
Internxt,INXT,"$8,375,129",$13.30,"629,610 *","$12,098",5.74%,7.74%,-18.75%
Atmos,ATMS,"$8,288,787",$0.08,"100,418,782 *","$23,563",-0.08%,-4.33%,-8.80%
Sumokoin,SUMO,"$8,246,199",$2.92,"2,827,061","$87,765",0.97%,11.21%,-10.47%
Vcash,XVC,"$8,188,625",$0.53,"15,395,596","$79,148",-1.45%,-2.48%,-26.02%
Sharechain,SSS,"$8,107,119",$0.00,"2,244,023,561 *","$4,367",9.23%,13.93%,-16.27%
GCN Coin,GCN,"$8,106,219",$0.00,"152,218,610,000","$4,715",-1.56%,49.01%,0.31%
Cryptopay,CPAY,"$8,057,509",$0.12,"65,566,304 *","$13,591",7.85%,32.44%,5.03%
Lampix,PIX,"$8,018,641",$0.06,"135,322,017 *","$7,795",5.14%,9.08%,-16.93%
APX,APX,"$7,979,042",$11.35,"703,179 *","$190,843",22.88%,33.38%,-7.96%
LendConnect,LCT,"$7,932,210",$3.67,"2,161,059 *","$551,895",1.53%,21.17%,86.43%
BunnyCoin,BUN,"$7,862,076",$0.00,"102,701,888,436",$927,4.88%,1.39%,-6.89%
DopeCoin,DOPE,"$7,826,632",$0.07,"116,845,228 *","$18,960",-1.15%,5.19%,-25.76%
CHIPS,CHIPS,"$7,809,809",$0.37,"20,850,066","$12,186",-0.08%,-0.96%,-45.95%
Elite,1337,"$7,789,385",$0.00,"25,563,189,622 *","$4,806",0.57%,0.64%,-24.46%
Bitcoin Plus,XBC,"$7,780,617",$73.23,"106,255 *","$36,880",-0.04%,9.46%,-19.35%
Monoeci,XMCC,"$7,696,318",$2.46,"3,127,707","$29,849",-4.78%,-0.79%,-22.94%
adbank,ADB,"$7,615,720",$0.02,"378,247,976 *","$27,447",-1.96%,5.33%,-5.74%
FLiK,FLIK,"$7,602,159",$0.13,"60,123,682 *","$11,714",-3.60%,13.32%,-13.15%
